thickness,threads,openmp
43,32,27.7721
43,64,29.835
43,128,28.9233
43,256,27.0593
44,2,32.5913
44,4,31.1517
44,7,37.056
44,8,35.6379
44,9,31.7914
44,10,35.7059
44,16,32.1887
44,32,29.885
44,64,31.2117
44,128,34.0955
44,256,31.5074
45,2,30.9262
45,4,36.8537
45,7,32.5202
45,8,31.9635
45,9,31.3608
45,10,40.1371
45,16,31.2651
45,32,30.3635
45,64,32.3499
45,128,33.2121
45,256,34.0681
46,2,32.8828
46,4,35.6039
46,7,34.9523
46,8,33.5435
46,9,34.8279
46,10,35.5113
46,16,33.0888
46,32,34.9061
46,64,36.2834
46,128,34.9601
46,256,36.8107
47,2,34.6813
47,4,34.4062
47,7,34.4115
47,8,38.2956
47,9,35.6282
47,10,34.7884
47,16,49.1755
47,32,33.3303
47,64,33.1982
47,128,43.7479
47,256,34.9095
48,2,38.2295
48,4,38.928
48,7,38.4474
48,8,36.3185
48,9,41.3504
48,10,40.6695
48,16,36.129
48,32,45.8343
48,64,38.7004
48,128,37.7112
48,256,39.461
49,2,40.071
49,4,39.1764
49,7,36.3265
49,8,40.122
49,9,36.8098
49,10,36.5939
49,16,39.0524
49,32,38.5828
49,64,40.1687
49,128,38.743
49,256,36.0225
50,2,42.9043
50,4,41.5443
50,7,42.3653
50,8,41.8614
50,9,39.3135
50,10,49.0848
50,16,41.5153
50,32,43.8156
50,64,42.358
50,128,39.2799
50,256,42.5084
