thickness,threads,openmp
46,10,77.8316
46,16,93.236
46,32,84.4442
46,64,79.0713
46,128,88.8705
46,256,80.3787
47,2,80.5689
47,4,83.8765
47,7,84.4027
47,8,82.3569
47,9,82.3462
47,10,86.2474
47,16,79.2583
47,32,87.8633
47,64,83.6745
47,128,81.4691
47,256,103.665
48,2,88.2108
48,4,93.4913
48,7,90.8409
48,8,90.2928
48,9,91.8786
48,10,92.9386
48,16,89.1657
48,32,89.6044
48,64,93.7161
48,128,96.768
48,256,99.9281
49,2,92.5105
49,4,88.3805
49,7,92.4138
49,8,96.2386
49,9,93.3545
49,10,88.9065
49,16,96.5031
49,32,90.8998
49,64,87.781
49,128,92.4927
49,256,93.1249
50,2,101.252
50,4,103.588
50,7,97.0725
50,8,102.839
50,9,97.6286
50,10,94.3821
50,16,105.984
50,32,96.9336
50,64,101.106
50,128,94.2401
50,256,102.722
